Date,<20 (%),20-40 (%),40-60 (%),60+ (%)
2019-05-27,20.39,27.70,25.92,25.99
2019-05-28,20.35,27.63,25.98,26.03
2019-05-29,20.43,27.69,26.05,25.83
2019-05-30,20.33,27.86,26.33,25.49
2019-05-31,20.52,27.73,26.07,25.68
2019-06-01,20.63,27.83,26.17,25.37
2019-06-02,20.47,27.74,26.14,25.66
2019-06-03,20.63,27.34,25.88,26.15
2019-06-04,20.35,27.58,26.07,26.00
2019-06-05,20.39,27.76,25.81,26.04
2019-06-06,20.33,27.72,26.04,25.92
2019-06-07,20.39,27.80,25.97,25.84
2019-06-08,20.33,27.84,26.24,25.58
2019-06-09,20.45,27.76,26.21,25.58
2019-06-10,20.13,27.73,26.25,25.89
2019-06-11,20.34,27.72,26.07,25.87
2019-06-12,20.40,27.74,26.00,25.86
2019-06-13,20.21,27.66,26.24,25.89
2019-06-14,20.42,27.54,26.16,25.87
2019-06-15,20.40,27.47,26.20,25.92
2019-06-16,20.52,27.66,26.01,25.82
2019-06-17,20.45,27.37,26.06,26.11
2019-06-18,20.43,27.50,26.15,25.91
2019-06-19,20.44,27.53,26.06,25.98
2019-06-20,20.34,27.55,26.24,25.87
2019-06-21,20.34,27.52,26.29,25.86
2019-06-22,20.18,27.63,26.33,25.87
2019-06-23,20.38,27.74,26.13,25.75
2019-06-24,20.43,27.64,26.10,25.84
2019-06-25,20.52,27.34,26.14,26.01
2019-06-26,20.53,27.39,25.93,26.15
2019-06-27,20.40,27.43,26.17,26.00
2019-06-28,20.43,27.44,26.10,26.04
2019-06-29,20.38,27.65,26.22,25.75
2019-06-30,20.45,27.52,26.31,25.72
2019-07-01,20.28,27.56,26.16,26.00
2019-07-02,20.23,27.57,26.15,26.04
2019-07-03,20.32,27.54,26.19,25.95
2019-07-04,20.44,27.54,26.15,25.87
2019-07-05,20.54,27.54,26.05,25.87
2019-07-06,20.45,27.59,26.26,25.70
2019-07-07,20.39,27.79,26.27,25.55
2019-07-08,20.32,27.44,26.40,25.85
2019-07-09,20.37,27.61,26.35,25.67
2019-07-10,20.42,27.52,26.34,25.72
2019-07-11,20.33,27.57,26.34,25.77
2019-07-12,20.50,27.73,26.25,25.52
2019-07-13,20.58,27.51,26.56,25.36
2019-07-14,20.61,27.53,26.23,25.63
